what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1386535854258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386535859781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386535864656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386535891399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386535891504
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1386535895452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386535900546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386535933040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1386535977691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386535982959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386535983050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1386535990393
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1386535994036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536027428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536060779
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1386536062150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1386536064344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1386536069456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536118983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536119742
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1386536119794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1386536128967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1386536135398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536141940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536146537
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1386536158694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1386536159355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1386536161582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536163841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164475
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164691
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536164993
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536165035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536165075
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536165108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536165141
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536165324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536165493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536165658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1386536165832
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536182473
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536184139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536239636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536244957
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1386536244980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536246325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386536248122
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1386536253802
