what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017448153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017449328
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1410017454532
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/projetoServlet",1410017454533
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1410017454541
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/projetoServlet",1410017454542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1410017454671
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1410017457473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017459789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017465514
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1410017469768
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1410017473894
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1410017473949
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1410017475662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017479862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017481499
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1410017481619
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1410017484393
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1410017484463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017498347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017520015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017521454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017522530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017531060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017549661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017551059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017554864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1410017567551
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1410017569752
opened,editor,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.editor",1410017570910
activated,editor,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.editor",1410017570976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017577056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017846856
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1410017853379
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.stop",1410017853402
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1410017854048
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1410017855031
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1410017855108
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1410017856165
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1410017858678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017863687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017865321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017865550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017868615
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1410017868639
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1410017871343
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1410017871390
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1410017897969
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1410017900357
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1410017922817
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1410017924557
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1410017924712
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1410017937237
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.stop",1410017937337
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1410017937945
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1410017938912
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1410017938994
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1410017939836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017944430
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410017950522
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1410017982033
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1410017983127
