what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1364952624449
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1364952624449
java.version,sysinfo,,,"1.6.0_21",1364952624449
java.vm.info,sysinfo,,,"mixed mode",1364952624449
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1364952624449
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1364952624449
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1364952624449
java.vm.specification.version,sysinfo,,,"1.0",1364952624449
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1364952624449
java.vm.version,sysinfo,,,"17.0-b17",1364952624449
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364952627754
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1364952628407
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1364952628413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.restartWorkbench",1364952628491
